ds,yhat,yhat_lower,yhat_upper
2020-02-11,28602.729098630898,21341.456083823276,35295.24033384528
2020-02-12,28924.907912348106,21792.26934949981,36300.998425501784
2020-02-13,28887.06345410289,22047.102837491446,35576.38829346633
2020-02-14,29392.364037049363,22493.626674136616,36332.995306962424
2020-02-15,31817.348443834406,24524.105450795574,38780.9393218547
2020-02-16,32325.766598510607,25579.03816223924,39449.69941738791
2020-02-17,30169.870819013435,23310.11066727888,37094.59651425625
2020-02-18,29528.68214431936,22626.096647870258,36098.96242224332
2020-02-19,29846.974854025677,23090.25165870045,36434.99798550498
2020-02-20,29787.69565428462,23138.907547603892,36870.50067727822
2020-02-21,30255.90247049167,23193.99121352157,37128.562657082686
2020-02-22,32631.078555107677,26100.374509502166,40250.91141329725
2020-02-23,33073.143921639086,25655.784856934835,40025.75440162506
2020-02-24,30835.103563847642,23867.06027368389,37905.89518713625
2020-02-25,30103.784867295828,23116.81091355608,37175.621715903704
2020-02-26,30325.515144820874,23258.822028944003,37113.97682613285
2020-02-27,30163.906171671824,23184.741752831476,36440.8809548448
2020-02-28,30527.87488425078,23550.928633593587,36790.018367198136
2020-02-29,32801.465465425856,26423.57652042882,40040.421156478376
2020-03-01,33141.99118367401,26482.500728160037,40091.382261017214
2020-03-02,30804.00985924755,24075.09290324491,38146.26976575303
2020-03-03,29982.513987260754,22509.667321891986,36978.31772547007
2020-03-04,30125.294679294697,23244.68016626788,36472.91481131328
2020-03-05,29896.096791076012,23139.891558932886,37240.29022069534
2020-03-06,30206.738387097615,23197.6041308675,37261.62521515987
2020-03-07,32444.468723215246,25386.133446862073,39572.14418842589
2020-03-08,32762.278641148903,25947.189322048707,40381.633709324575
2020-03-09,30414.250516453994,23873.95053416136,37489.07934764277
2020-03-10,29601.256083087745,22948.30476708206,36498.573526598586
2020-03-11,29770.06795857687,22640.43433663059,37288.96679290679
2020-03-12,29581.951032796027,22225.20026390299,36378.89007094452
2020-03-13,29948.949043334575,23605.496299784343,36642.94384191989
2020-03-14,32258.847615778664,25506.81490725693,39534.51536335199
2020-03-15,32657.72131767468,25484.022873437443,39697.51982268619
2020-03-16,30396.723338949305,23337.20099925048,37434.00048273445
2020-03-17,29680.351683677687,22602.10094042194,36714.483130903885
2020-03-18,29952.36280005073,23464.721652072774,36867.46449958765
2020-03-19,29869.846225352994,22883.0824244735,36631.75836351541
2020-03-20,30343.716584203463,23399.0323525481,37196.13995715491
2020-03-21,32761.310412523242,26488.102573491113,40179.07641974827
2020-03-22,33261.18838216314,26674.419212331726,40728.07725163357
2020-03-23,31091.372670921835,23968.205885609812,37714.998497043096
2020-03-24,30460.178879262527,23896.09226276961,38206.68507891527
2020-03-25,30808.91877044115,24617.77323659981,37888.662135381
2020-03-26,30791.435352335186,23624.268639371378,37823.60554141783
2020-03-27,31318.768444625595,24596.778215722537,38467.15934800821
2020-03-28,33779.3454245526,26970.454110369017,40941.09822543622
2020-03-29,34305.99198359159,27452.128152167,41210.79209333485
2020-03-30,32145.565169549853,25584.319114783473,39285.037688110744
2020-03-31,31512.29515544153,24520.931314208538,38373.95735099856
2020-04-01,31847.218965607313,24595.055348158,39090.938596722066
2020-04-02,31803.11725722434,24397.098620533223,38573.97695074321
2020-04-03,32293.295732373383,25362.621202810726,39456.079788370975
2020-04-04,34709.31466271703,27602.549917704437,42011.36298815997
2020-04-05,35180.157083527985,27900.356436080518,41926.213162744665
2020-04-06,32953.21178697808,26332.919291019076,40030.63526571729
2020-04-07,32250.085746176497,25037.444208752324,39424.566872113624
2020-04-08,32512.737097420813,25761.30021225592,39262.62187538407
2020-04-09,32393.790073801945,26265.373259814107,39311.515182224364
2020-04-10,32809.41736580214,26640.302801865502,39165.39993419866
2020-04-11,35154.60239455443,28041.12376076387,41872.44281899193
2020-04-12,35554.467737375555,28812.84696140456,42492.94276058116
2020-04-13,33256.619399367686,26403.723000011138,39518.00926217904
2020-04-14,32489.449223133743,25058.15649883922,39570.66327493972
2020-04-15,32694.993714715256,25559.385705776254,39448.06965127308
2020-04-16,32524.660034355773,25670.393578151004,39022.71045113278
